model_name,provider,category,release_date,release_year,arena_elo,benchmark,score
GPT-3 Ada,OpenAI,frontier,2020-06-11,2020,,mmlu,17.9
GPT-3 Babbage,OpenAI,frontier,2020-06-11,2020,,mmlu,25.1
GPT-3 Curie,OpenAI,frontier,2020-06-11,2020,,mmlu,34.3
GPT-3 Davinci,OpenAI,frontier,2020-06-11,2020,,mmlu,43.8
InstructGPT text-davinci-001,OpenAI,frontier,2022-01-27,2022,,mmlu,50.6
InstructGPT text-davinci-002,OpenAI,frontier,2022-03-15,2022,,mmlu,56.4
PaLM 62B,Google,frontier,2022-04-04,2022,,mmlu,63.2
PaLM 8B,Google,frontier,2022-04-04,2022,,mmlu,49.6
PaLM 540B,Google,frontier,2022-04-04,2022,,mmlu,69.1
InstructGPT text-davinci-003,OpenAI,frontier,2022-11-28,2022,,mmlu,64.4
GPT-3.5 Turbo,OpenAI,frontier,2022-11-30,2022,1106.0,mmlu,70.0
Claude 1,Anthropic,frontier,2023-03-14,2023,1100.0,mmlu,77.0
GPT-4,OpenAI,frontier,2023-03-14,2023,1163.0,mmlu,86.4
PaLM 2 Bison,Google,frontier,2023-05-10,2023,,mmlu,74.8
PaLM 2 Gecko,Google,frontier,2023-05-10,2023,,mmlu,58.9
PaLM 2 Unicorn,Google,frontier,2023-05-10,2023,,mmlu,81.4
GPT-3.5 Turbo 16k,OpenAI,frontier,2023-06-13,2023,1108.0,mmlu,70.8
GPT-4 0613,OpenAI,frontier,2023-06-13,2023,1152.0,mmlu,86.4
Claude 1.3,Anthropic,frontier,2023-07-10,2023,1105.0,mmlu,78.2
Claude 2,Anthropic,frontier,2023-07-11,2023,1115.0,mmlu,78.5
GPT-4 Turbo 1106,OpenAI,frontier,2023-11-06,2023,1243.0,mmlu,86.5
Claude 2.1,Anthropic,frontier,2023-11-21,2023,1119.0,mmlu,76.7
Gemini 1.0 Nano,Google,frontier,2023-12-06,2023,,mmlu,55.4
Gemini 1.0 Pro,Google,frontier,2023-12-06,2023,,mmlu,72.2
Gemini 1.0 Ultra,Google,frontier,2023-12-06,2023,,mmlu,83.7
