model_name,provider,release_date,model_version,model_type,open_source,license_type,parameters_b,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,math_score,gsm8k_score,hellaswag_score,arc_challenge_score,truthfulqa_score,winogrande_score,memory_footprint_gb,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes
T5 Base,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.22,0.5,2019-10,No,en,No,29.6,,,,64.9,40.0,,57.8,0.15,No,No,,Small,36,Raffel et al. 2020,
T5 Large,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.77,0.5,2019-10,No,en,No,35.2,,,,67.6,43.8,,59.8,0.5,No,No,,Small,36,Raffel et al. 2020,
T5 Small,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.06,0.5,2019-10,No,en,No,24.7,,,,59.9,34.7,,54.8,0.04,No,No,,Mini,36,Raffel et al. 2020 (arXiv:1910.10683),Text-to-Text Transfer Transformer
T5 XL,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,3.0,0.5,2019-10,No,en,No,39.9,,,,71.2,47.9,,62.2,2.0,No,No,,Small,36,Raffel et al. 2020,
T5 XXL,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,11.0,0.5,2019-10,No,en,No,48.3,,,,74.7,53.3,,64.1,6.0,No,No,,Large,36,Raffel et al. 2020,Largest T5
GPT-J 6B,EleutherAI,2021-06-04,v1.0,LLM,Yes,Apache-2.0,6.0,2.0,2021-04,No,en,No,36.7,11.4,,35.1,66.7,36.4,29.5,63.8,4.0,No,No,,Small,55,EleutherAI (2021),First open GPT-3 class model
Gopher 280B,DeepMind,2021-12-08,v1.0,LLM,No,Research-only,280.0,4.0,2021-06,No,en,No,60.2,,,63.0,79.3,58.8,43.3,69.9,160.0,No,No,,XL,55,Rae et al. 2021 (arXiv:2112.11446),DeepMind 280B; MassiveText
Chinchilla 70B,DeepMind,2022-03-29,v1.0,LLM,No,Research-only,70.0,4.0,2022-01,No,en,No,67.6,14.8,,74.1,79.8,65.1,45.1,74.4,40.0,No,No,,XL,55,Hoffmann et al. 2022 (arXiv:2203.15556),Compute-optimal; beat Gopher at 70B
GPT-NeoX 20B,EleutherAI,2022-04-14,v1.0,LLM,Yes,Apache-2.0,20.0,4.0,2022-01,No,en,No,33.7,21.3,,29.1,72.0,48.3,31.8,68.3,12.0,No,No,,XL,55,Black et al. 2022 (arXiv:2204.06745),Open replication of GPT-3
OPT 66B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,66.0,2.0,2022-01,No,en,No,48.4,4.8,,4.0,75.2,57.0,38.9,69.3,38.0,No,No,,XL,45,Zhang et al. 2022,Largest OPT released
OPT 30B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,30.0,2.0,2022-01,No,en,No,44.8,3.5,,2.0,72.8,53.3,37.4,67.3,18.0,No,No,,Large,45,Zhang et al. 2022,
OPT 6.7B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,6.7,2.0,2022-01,No,en,No,37.7,2.0,,,67.0,44.1,35.6,65.3,4.0,No,No,,Small,45,Zhang et al. 2022,
OPT 1.3B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,1.3,2.0,2022-01,No,en,No,24.6,0.9,,,54.8,31.4,31.3,59.4,0.7,No,No,,Small,45,Zhang et al. 2022 (arXiv:2205.01068),Open Pretrained Transformer
OPT 13B,Meta AI,2022-05-02,v1.0,LLM,Yes,OPT-NC,13.0,2.0,2022-01,No,en,No,41.8,2.4,,,69.7,48.3,36.9,66.2,8.0,No,No,,Medium,45,Zhang et al. 2022,
BLOOM 176B,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,176.0,4.0,2022-02,No,multilingual_46,No,26.1,,,18.9,66.2,37.9,25.0,61.4,100.0,No,No,,XL,55,BigScience (2022); arXiv:2211.05100,176B 46 languages
BLOOM 1B7,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,1.7,4.0,2022-02,No,multilingual_46,No,24.1,,,17.2,56.7,34.2,24.0,56.8,1.0,No,No,,Small,55,BigScience (2022),
BLOOM 3B,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,3.0,4.0,2022-02,No,multilingual_46,No,26.7,,,20.2,60.0,37.0,26.1,60.1,2.0,No,No,,Small,55,BigScience (2022),
BLOOM 560M,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,0.56,4.0,2022-02,No,multilingual_46,No,20.9,,,14.9,53.7,31.0,21.6,53.8,0.35,No,No,,Mini,55,BigScience (2022); arXiv:2211.05100,46 languages
BLOOM 7B1,BigScience,2022-07-06,v1.0,LLM,Yes,BLOOM Rail,7.1,4.0,2022-02,No,multilingual_46,No,30.7,,,23.2,62.8,39.6,27.7,63.8,4.0,No,No,,Small,55,BigScience (2022),
GLM-130B,Tsinghua/Zhipu,2022-10-05,v1.0,LLM,Yes,GLM-130B,130.0,4.0,2022-06,No,"en,zh",No,44.9,,,47.0,71.9,51.3,33.1,64.9,75.0,No,No,,XL,45,Zeng et al. 2022 (arXiv:2210.02414),Bilingual; 400B token training
FLAN-T5 XL,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,3.0,0.5,2022-06,No,multilingual,No,51.7,,,,71.7,51.8,43.1,62.6,2.0,No,Yes,T5,Small,45,Chung et al. 2022,
FLAN-T5 Base,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.25,0.5,2022-06,No,multilingual,No,42.7,,,,65.7,43.7,35.8,59.0,0.16,No,Yes,T5,Small,45,Chung et al. 2022,
FLAN-T5 Large,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.78,0.5,2022-06,No,multilingual,No,49.2,,,,69.2,48.3,38.7,61.3,0.5,No,Yes,T5,Small,45,Chung et al. 2022,
FLAN-T5 Small,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,0.08,0.5,2022-06,No,multilingual,No,38.2,,,,63.1,39.9,32.7,55.7,0.05,No,Yes,T5,Mini,45,Chung et al. 2022 (arXiv:2210.11416),Instruction-tuned T5
FLAN-T5 XXL,Google,2022-10-20,v1.0,LLM,Yes,Apache-2.0,11.0,0.5,2022-06,No,multilingual,No,54.9,,4.9,,,,52.3,,6.0,No,Yes,T5,Large,27,Chung et al. 2022,Flan instruction-tuned T5 11B
BLOOMZ 176B,BigScience,2022-11-03,v1.0,LLM,Yes,BLOOM Rail,176.0,4.0,2022-02,No,multilingual_46,No,34.1,,,25.8,67.2,41.4,37.2,61.9,100.0,No,Yes,BLOOM,XL,55,Muennighoff et al. 2022 (arXiv:2211.01786),Multitask instruct-tuned BLOOM
LLaMA 1 13B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,13.0,4.0,2022-10,No,en,No,46.9,,,46.5,79.9,59.5,36.2,73.0,8.0,No,No,,Medium,55,Touvron et al. 2023,
LLaMA 1 30B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,30.0,4.0,2022-10,No,en,No,58.2,,,57.3,82.8,66.6,37.7,75.9,18.0,No,No,,Large,55,Touvron et al. 2023,
LLaMA 1 65B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,65.0,4.0,2022-10,No,en,No,63.7,,,62.9,83.8,72.9,42.3,76.7,36.0,No,No,,XL,55,Touvron et al. 2023,Best open 65B; matched GPT-3
LLaMA 1 7B,Meta,2023-02-24,v1.0,LLM,Yes,GPL-3.0,7.0,4.0,2022-10,No,en,No,35.3,,,36.2,76.1,51.5,32.7,70.2,4.0,No,No,,Small,55,Touvron et al. 2023 (arXiv:2302.13971),Research only release
FLAN-UL2,Google,2023-03-10,v1.0,LLM,Yes,Apache-2.0,20.0,0.5,2022-06,No,multilingual,No,55.9,,6.4,,,,52.9,,12.0,No,Yes,T5,Large,27,Tay et al. 2023 (arXiv:2205.05131),Mixture-of-Denoisers
BloombergGPT,Bloomberg,2023-03-30,v1.0,LLM,No,Proprietary,50.0,4.0,2022-12,No,en,No,54.1,,,56.2,77.6,61.9,,71.7,30.0,No,No,,XL,45,Wu et al. 2023 (arXiv:2303.17564),Finance domain LLM
Pythia 12B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,12.0,4.0,2022-12,No,en,No,35.9,,,32.7,73.1,53.1,30.6,70.4,7.0,No,No,,Large,55,Biderman et al. 2023,
Pythia 1B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,1.0,4.0,2022-12,No,en,No,30.3,,,22.0,57.3,37.3,29.0,59.7,0.6,No,No,,Small,55,Biderman et al. 2023 (arXiv:2304.01373),Interpretability research suite
Pythia 2.8B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,2.8,4.0,2022-12,No,en,No,32.7,,,27.8,60.0,40.6,30.9,62.0,2.0,No,No,,Small,55,Biderman et al. 2023,
Pythia 6.9B,EleutherAI,2023-04-03,v1.0,LLM,Yes,Apache-2.0,6.9,4.0,2022-12,No,en,No,35.9,,,31.2,64.1,44.0,33.1,65.1,4.0,No,No,,Small,55,Biderman et al. 2023,
Dolly 12B,Databricks,2023-04-12,v2.0,LLM,Yes,MIT,12.0,4.0,2023-01,No,en,No,38.3,,,35.2,68.1,47.2,40.1,63.9,7.0,No,Yes,Pythia,Large,55,Databricks (Apr 2023),First truly open instruct LLM
StableLM Alpha 7B,Stability AI,2023-04-19,v1.0,LLM,Yes,CC BY-SA-4.0,7.0,4.0,2023-01,No,en,No,30.3,,,22.7,73.7,47.2,29.1,66.7,4.0,No,No,,Small,55,Stability AI (Apr 2023),
StableLM Alpha 3B,Stability AI,2023-04-19,v1.0,LLM,Yes,CC BY-SA-4.0,3.0,4.0,2023-01,No,en,No,24.2,,,15.1,69.3,40.7,25.1,63.2,2.0,No,No,,Small,55,Stability AI (Apr 2023),
MPT 7B,MosaicML,2023-05-05,v1.0,LLM,Yes,Apache-2.0,7.0,2.0,2023-01,No,en,No,27.3,18.5,,30.7,75.0,48.8,30.8,68.7,4.0,No,No,,Small,64,MosaicML (May 2023),ALiBi positional encoding
RedPajama 3B,Together AI,2023-05-05,v1.0,LLM,Yes,Apache-2.0,3.0,4.0,2023-01,No,en,No,26.7,,,17.9,72.5,43.9,27.2,64.7,2.0,No,No,,Small,55,Together AI (May 2023),Open LLaMA reproduction
RedPajama 7B,Together AI,2023-05-05,v1.0,LLM,Yes,Apache-2.0,7.0,4.0,2023-01,No,en,No,36.0,,,30.4,76.2,50.6,31.9,69.1,4.0,No,No,,Small,55,Together AI (May 2023),
Falcon 40B,TII,2023-05-22,v1.0,LLM,Yes,Apache-2.0,40.0,2.0,2023-01,No,multilingual,No,55.2,20.3,,54.0,85.0,61.1,33.0,77.8,22.0,No,No,,XL,73,TII (May 2023); HF Leaderboard,Best open briefly mid-2023
WizardLM 13B,WizardLM,2023-05-26,v1.0,LLM,Yes,Non-commercial,13.0,4.0,2023-01,No,en,No,48.3,22.1,,49.9,81.3,59.7,43.9,73.2,8.0,No,Yes,LLaMA 1,Medium,73,Xu et al. 2023 (arXiv:2304.12244),Evol-Instruct
MPT 30B,MosaicML,2023-06-22,v1.0,LLM,Yes,Apache-2.0,30.0,8.0,2023-01,No,en,No,46.6,20.7,,51.8,79.8,58.0,35.3,73.5,18.0,No,No,,Large,64,MosaicML (Jun 2023),
LLaMA 2 7B Chat,Meta,2023-07-18,v2.0,LLM,Yes,Llama 2,7.0,4.0,2023-01,No,multilingual,Yes,47.9,14.0,4.7,20.3,78.3,54.8,45.9,70.8,4.0,No,Yes,LLaMA 2,Small,82,Meta Llama 2 Report,RLHF instruct-tuned
