model_name,provider,release_date,model_version,model_type,open_source,license_type,parameters_b,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,hellaswag_score,memory_footprint_gb,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes
Nous-70B-ties,meta-math,2023-01-04,v1.0,LLM,Yes,varies,70.0,128.0,2022-11-04,No,"en,multilingual",No,87.7,82.4,90.1,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Medusa-70B-dpo,mistralai-community,2023-01-24,v1.0,LLM,Yes,varies,70.0,8.0,2022-11-24,No,"en,multilingual",No,84.4,83.7,88.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dpo method. Flagged community_finetune.
Tulu-70B-franken,NousResearch,2023-01-28,v1.0,LLM,Yes,varies,70.0,8.0,2022-11-28,No,"en,multilingual",No,86.8,86.7,88.9,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; franken method. Flagged community_finetune.
Airoboros-70B-dare,NousResearch,2023-02-04,v1.0,LLM,Yes,varies,70.0,8.0,2022-12-04,No,"en,multilingual",No,83.1,84.4,87.6,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; dare method. Flagged community_finetune.
InfinityInstruct-70B-franken,mistralai-community,2023-02-04,v1.0,LLM,Yes,varies,70.0,128.0,2022-12-04,No,"en,multilingual",No,87.0,81.2,89.1,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; franken method. Flagged community_finetune.
WizardMath-70B-ties,FPHam,2023-02-09,v1.0,LLM,Yes,varies,70.0,8.0,2022-12-09,No,"en,multilingual",No,86.2,83.9,88.4,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
Meridian-70B-lora,HuggingFaceH4,2023-03-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-01-14,No,"en,multilingual",No,86.3,85.1,88.7,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; lora method. Flagged community_finetune.
Hermes-70B-ties,mistralai-community,2023-03-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-01-19,No,"en,multilingual",No,82.9,83.5,88.7,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
Nous-70B-slerp,meta-math,2023-03-24,v1.0,LLM,Yes,varies,70.0,8.0,2023-01-24,No,"en,multilingual",No,86.7,83.7,89.4,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; slerp method. Flagged community_finetune.
Axiom-70B-linear,cognitivecomputations,2023-05-04,v1.0,LLM,Yes,varies,70.0,128.0,2023-03-04,No,"en,multilingual",No,89.2,82.9,90.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; linear method. Flagged community_finetune.
Speechless-70B-passthrough,meta-math,2023-05-09,v1.0,LLM,Yes,varies,70.0,8.0,2023-03-09,No,"en,multilingual",No,84.6,81.5,88.2,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; passthrough method. Flagged community_finetune.
Vertex-70B-ties,unsloth,2023-05-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-03-14,No,"en,multilingual",No,88.5,83.1,90.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Capybara-70B-passthrough,unsloth,2023-05-19,v1.0,LLM,Yes,varies,70.0,8.0,2023-03-19,No,"en,multilingual",No,85.3,85.3,89.1,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; passthrough method. Flagged community_finetune.
Guanaco-70B-ties,defog,2023-06-09,v1.0,LLM,Yes,varies,70.0,8.0,2023-04-09,No,"en,multilingual",No,86.5,84.8,88.2,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; ties method. Flagged community_finetune.
SuperHOT-70B-passthrough,garage-bAInd,2023-06-09,v1.0,LLM,Yes,varies,70.0,8.0,2023-04-09,No,"en,multilingual",No,84.2,86.5,89.1,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; passthrough method. Flagged community_finetune.
EvolInstruct-7B-dare,FPHam,2023-06-14,v1.0,LLM,Yes,varies,7.0,128.0,2023-04-14,No,"en,multilingual",No,78.4,88.6,,4.0,No,Yes,Qwen 2.5 7B,Small,66,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of Qwen 2.5 7B; dare method. Flagged community_finetune.
Linhope-70B-dare,WizardLM,2023-07-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-05-09,No,"en,multilingual",No,86.2,85.4,89.1,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dare method. Flagged community_finetune.
Hermes-70B-linear,NousResearch,2023-07-19,v1.0,LLM,Yes,varies,70.0,128.0,2023-05-19,No,"en,multilingual",No,89.6,82.4,88.3,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; linear method. Flagged community_finetune.
Baize-70B-franken,defog,2023-07-24,v1.0,LLM,Yes,varies,70.0,8.0,2023-05-24,No,"en,multilingual",No,84.1,85.5,88.3,38.0,No,Yes,LLaMA 3 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3 70B; franken method. Flagged community_finetune.
Meridian-70B-franken,Gryphe,2023-08-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-06-09,No,"en,multilingual",No,89.0,85.7,90.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; franken method. Flagged community_finetune.
OpenHermes-70B-ties,HuggingFaceH4,2023-08-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-06-09,No,"en,multilingual",No,89.5,81.4,88.0,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; ties method. Flagged community_finetune.
Synthia-70B-rlhf,unsloth,2023-08-09,v1.0,LLM,Yes,varies,70.0,128.0,2023-06-09,No,"en,multilingual",No,87.9,85.2,89.6,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; rlhf method. Flagged community_finetune.
SciTulu-70B-dare,teknium,2023-08-14,v1.0,LLM,Yes,varies,70.0,128.0,2023-06-14,No,"en,multilingual",No,89.7,83.1,89.2,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dare method. Flagged community_finetune.
Vicuna-FT-70B-dpo,defog,2023-08-28,v1.0,LLM,Yes,varies,70.0,128.0,2023-06-28,No,"en,multilingual",No,90.0,80.4,89.8,38.0,No,Yes,LLaMA 3.1 70B,Large,100,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of LLaMA 3.1 70B; dpo method. Flagged community_finetune.
Hermes-7B-dare,jondurbin,2023-09-04,v1.0,LLM,Yes,varies,7.0,128.0,2023-07-04,No,"en,multilingual",No,77.1,87.8,,4.0,No,Yes,Qwen 2.5 7B,Small,66,HuggingFace Open LLM Leaderboard v1 (2023-2024),Community fine-tune of Qwen 2.5 7B; dare method. Flagged community_finetune.
